Date,Holiday Name,Jurisdiction
2027-03-27,Easter Saturday,NT
2027-03-27,Easter,NT
2027-03-27,Easter Saturday,QLD
2027-03-27,Easter Saturday,SA
2027-03-27,Saturday before Easter Sunday,VIC
2027-03-28,Easter Sunday,ACT
2027-03-28,Easter Sunday,NSW
2027-03-28,Easter Sunday,NT
2027-03-28,Easter,NT
2027-03-28,Easter Sunday,QLD
2027-03-28,Easter Sunday,SA
2027-03-28,Easter Saturday,SA
2027-03-28,Easter Sunday,VIC
2027-03-28,Easter Sunday,WA
2027-03-29,Easter Monday,ACT
2027-03-29,Easter Monday,NSW
2027-03-29,Easter Monday,NT
2027-03-29,Easter,NT
2027-03-29,Easter Monday,QLD
2027-03-29,Easter Monday,SA
2027-03-29,Easter Monday,VIC
2027-03-29,Easter Monday,WA
2027-04-02,Melbourne Cup,VIC
2027-04-25,Anzac Day,NSW
2027-04-25,Anzac Day,QLD
2027-04-25,Anzac Day,SA
2027-04-25,ANZAC Day,SA
2027-04-25,ANZAC Day,VIC
2027-04-25,Anzac Day,WA
2027-04-26,ANZAC Day,ACT
2027-04-26,Anzac Day,NSW
2027-04-26,Additional Day,NSW
2027-04-26,Anzac Day,NT
2027-04-26,Anzac Day,QLD
2027-04-26,Anzac Day,WA
2027-05-03,May Day,NT
2027-05-03,Labour Day,QLD
2027-05-31,Reconciliation Day,ACT
2027-06-07,Western Australia Day,WA
2027-06-14,King's Birthday,ACT
2027-06-14,King's Birthday,NSW
2027-06-14,King's Birthday,NT
2027-06-14,King's Birthday,SA
2027-06-14,King's Birthday,VIC
2027-08-02,Bank Holiday,NSW
2027-08-02,Picnic Day,NT
2027-08-11,Royal Queensland Show,QLD
2027-09-27,King's Birthday,WA
2027-10-04,Labour Day,ACT
2027-10-04,Labour Day,NSW
2027-10-04,King's Birthday,QLD
2027-10-04,Labour Day,SA
2027-11-02,Melbourne Cup,VIC
2027-12-24,Christmas Eve,NT
2027-12-24,Christmas Eve,QLD
2027-12-24,Christmas Eve,SA
2027-12-25,Christmas Day,NSW
2027-12-25,Christmas Day,NT
2027-12-25,Christmas Day,QLD
2027-12-25,Christmas Day,SA
2027-12-25,Christmas Day,VIC
2027-12-25,Christmas Day,WA
2027-12-25,Christmas Day,WA
2027-12-26,Boxing Day,NSW
2027-12-26,Boxing Day,NT
2027-12-26,Boxing Day,QLD
2027-12-26,Proclamation Day,SA
2027-12-26,Proclamation Day holiday and Boxing Day,SA
2027-12-26,Boxing Day,WA
2027-12-27,Labour Day,ACT
2027-12-27,Christmas Day,NSW
2027-12-27,Additional Day,NSW
2027-12-27,Christmas Day,NT
2027-12-27,Christmas Day,QLD
2027-12-27,Christmas Day,SA
2027-12-27,Christmas Day,WA
2027-12-28,Labour Day,ACT
2027-12-28,Boxing Day,NSW
2027-12-28,Additional Day,NSW
2027-12-28,Boxing Day,NT
2027-12-28,Boxing Day,QLD
2027-12-28,Proclamation Day,SA
2027-12-28,Boxing Day,WA
2027-12-31,New Year's Eve,NT
2027-12-31,New Year's Eve,SA
2028-01-01,New Year's Day,NT
2028-01-01,New Year's Day,QLD
2028-01-01,New Year's Day,SA
2028-01-03,New Year's Day,NT
2028-01-03,New Year's Day,QLD
2028-01-03,New Year's Day,SA
2028-01-26,Australia Day,ACT
2028-01-26,Australia Day,NT
2028-01-26,Australia Day,QLD
2028-01-26,Australia Day,SA
2028-01-26,Australia Day,VIC
2028-03-01,New Year's Day,VIC
2028-03-13,Canberra Day,ACT
2028-03-13,Adelaide Cup,SA
2028-03-13,Adelaide Cup Day,SA
2028-03-13,Labour Day,VIC
2028-03-25,ANZAC Day,VIC
2028-04-14,Good Friday,ACT
2028-04-14,Good Friday,NT
2028-04-14,Good Friday,QLD
2028-04-14,Good Friday,SA
2028-04-14,Good Friday,VIC
2028-04-15,Easter Saturday – the day after Good Friday,ACT
2028-04-15,Easter Saturday,NT
2028-04-15,Easter Saturday,QLD
2028-04-15,Easter Saturday,SA
2028-04-15,Saturday before Easter Sunday,VIC
2028-04-16,Easter Sunday,ACT
2028-04-16,Easter Sunday,NT
2028-04-16,Easter Sunday,QLD
2028-04-16,Easter Sunday,SA
2028-04-16,Easter Sunday,VIC
2028-04-17,Easter Monday,ACT
2028-04-17,Easter Monday,NT
2028-04-17,Easter Monday,QLD
2028-04-17,Easter Monday,SA
2028-04-17,Easter Monday,VIC
2028-04-25,ANZAC Day,ACT
2028-04-25,Anzac Day,NT
2028-04-25,Anzac Day,QLD
2028-04-25,Anzac Day,SA
2028-04-25,ANZAC Day,SA
2028-04-25,ANZAC Day,VIC
2028-05-01,May Day,NT
2028-05-01,Labour Day,QLD
2028-05-07,Melbourne Cup,VIC
2028-05-29,Reconciliation Day,ACT
2028-06-12,King's Birthday,ACT
2028-06-12,King's Birthday,NT
2028-06-12,King's Birthday,SA
2028-06-12,King's Birthday,VIC
2028-08-07,Picnic Day,NT
2028-08-16,Royal Queensland Show,QLD
2028-10-02,Labour Day,ACT
2028-10-02,King's Birthday,QLD
2028-10-02,Labour Day,SA
2028-11-07,Melbourne Cup,VIC
2028-12-24,Christmas Eve,NT
2028-12-24,Christmas Eve,QLD
2028-12-24,Christmas Eve,SA
2028-12-25,Christmas Day,ACT
2028-12-25,Christmas Day,NT
2028-12-25,Christmas Day,QLD
2028-12-25,Christmas Day,SA
2028-12-25,Christmas Day,VIC
2028-12-26,Boxing Day,ACT
2028-12-26,Boxing Day,NT
2028-12-26,Boxing Day,QLD
2028-12-26,Proclamation Day,SA
2028-12-26,Boxing Day,VIC
2028-12-26,Boxing Day,WA
2028-12-26,Boxing Day,WA
2028-12-31,New Year's Eve,NT
2028-12-31,New Year's Eve,SA
2029-01-01,New Year's Day,ACT
2029-01-01,New Year's Day,QLD
2029-01-26,Australia Day,ACT
2029-01-26,Australia Day,QLD
2029-03-12,Canberra Day,ACT
2029-03-30,Good Friday,ACT
2029-03-30,Good Friday,QLD
2029-03-31,Easter Saturday – the day after Good Friday,ACT
2029-03-31,Easter Saturday,QLD
2029-04-01,Easter Sunday,ACT
2029-04-01,Easter Sunday,QLD
2029-04-02,Easter Monday,ACT
2029-04-02,Easter Monday,QLD
2029-04-25,ANZAC Day,ACT
2029-04-25,Anzac Day,QLD
2029-05-07,Labour Day,QLD
2029-05-28,Reconciliation Day,ACT
2029-06-11,King's Birthday,ACT
2029-08-15,Royal Queensland Show,QLD
2029-10-01,Labour Day,ACT
2029-10-01,King's Birthday,QLD
2029-12-24,Christmas Eve,QLD
2029-12-25,Christmas Day,ACT
2029-12-25,Christmas Day,QLD
2029-12-26,Boxing Day,ACT
2029-12-26,Boxing Day,QLD
